livreId;closeness;betweenness;pagerank
10;0.065351;0.000647;0.000438
100;0.074220;0.000074;0.000594
10002;0.053909;0.000000;0.000144
10007;0.000000;0.000000;0.000116
1001;0.044723;0.000000;0.000297
10031;0.060114;0.000428;0.000359
1004;0.053833;0.000730;0.000630
101;0.000778;0.000003;0.000687
1012;0.000616;0.000000;0.000634
10136;0.072855;0.003483;0.000787
10148;0.051925;0.000000;0.000168
10150;0.064925;0.000000;0.000311
102;0.047679;0.000679;0.000526
1021;0.000000;0.000000;0.000116
1023;0.095080;0.000193;0.002261
103;0.000000;0.000000;0.000116
1034;0.000000;0.000000;0.000116
10376;0.000000;0.000000;0.000116
10378;0.058755;0.000601;0.000488
10381;0.077279;0.000247;0.000332
1041;0.001830;0.000000;0.000225
105;0.074275;0.000068;0.000773
1051;0.000243;0.000000;0.000774
10554;0.000000;0.000000;0.000116
1056;0.069068;0.000000;0.000234
1057;0.000000;0.000000;0.000116
10607;0.000607;0.000000;0.000805
10609;0.074606;0.000440;0.000450
10615;0.054256;0.000000;0.000241
10623;0.000000;0.000000;0.000116
10625;0.000000;0.000000;0.000116
10636;0.065359;0.000683;0.000489
10643;0.094742;0.003621;0.002623
10657;0.070731;0.000042;0.000691
10676;0.082998;0.000032;0.000554
10681;0.065191;0.000151;0.000678
107;0.082048;0.000008;0.000916
10712;0.078739;0.000001;0.000588
10715;0.045050;0.000000;0.000526
10732;0.045243;0.000679;0.000533
1074;0.067776;0.002727;0.000732
10741;0.038440;0.000000;0.000423
1079;0.071137;0.000000;0.000255
108;0.079359;0.001901;0.001366
10800;0.063475;0.000004;0.000380
1081;0.085692;0.000242;0.001460
10827;0.068927;0.000030;0.000614
10890;0.069414;0.000043;0.000741
10897;0.000260;0.000000;0.000774
1091;0.000243;0.000000;0.000774
1093;0.000247;0.000000;0.000774
1094;0.000000;0.000000;0.000116
10947;0.087642;0.000892;0.001869
1097;0.000000;0.000000;0.000116
11;0.037965;0.000678;0.000907
110;0.088109;0.000286;0.001679
11000;0.000000;0.000000;0.000116
11027;0.067819;0.012006;0.001513
11030;0.078723;0.000910;0.000671
1112;0.002080;0.000000;0.000266
11224;0.043531;0.000059;0.000636
11231;0.000000;0.000000;0.000116
113;0.048022;0.000000;0.000403
11339;0.056661;0.001358;0.000723
11438;0.000260;0.000000;0.000774
11483;0.067977;0.000021;0.000415
1150;0.080342;0.000288;0.000818
1152;0.000253;0.000000;0.000774
1153;0.051200;0.000000;0.000698
11531;0.076349;0.000033;0.000301
1155;0.063982;0.000048;0.000896
1156;0.069690;0.000000;0.000242
11582;0.052438;0.000581;0.000281
11666;0.000000;0.000000;0.000116
1170;0.074145;0.001233;0.000515
11703;0.083887;0.002033;0.001079
1173;0.045666;0.000000;0.000290
1174;0.070069;0.000119;0.000597
1177;0.056594;0.000679;0.000411
1184;0.097178;0.006570;0.002548
11870;0.085596;0.001030;0.001502
11894;0.068722;0.000008;0.000189
119;0.088636;0.000911;0.001868
11937;0.049012;0.000000;0.000181
11945;0.055942;0.002034;0.000732
11982;0.084136;0.001032;0.000961
11987;0.000000;0.000000;0.000116
12;0.044220;0.002714;0.001073
120;0.059387;0.000024;0.000325
1200;0.075348;0.000000;0.000520
12030;0.080842;0.001861;0.001004
12045;0.000260;0.000000;0.000774
12096;0.000000;0.000000;0.000116
121;0.079648;0.000696;0.000990
1210;0.053850;0.000000;0.000167
1212;0.048623;0.000000;0.000171
12161;0.000000;0.000000;0.000116
122;0.081378;0.000012;0.000798
12219;0.000000;0.000000;0.000116
12242;0.000000;0.000000;0.000116
1227;0.000000;0.000000;0.000116
1228;0.061672;0.000000;0.000476
12297;0.001075;0.000000;0.000784
1232;0.000308;0.000000;0.000774
12341;0.000000;0.000000;0.000116
