livreId;scoreGlobal
128;0.776595
2638;0.706540
13623;0.700648
3178;0.687712
5529;0.677938
583;0.675266
1259;0.671511
5427;0.655824
1260;0.653937
7277;0.652349
1184;0.648381
14833;0.643369
2038;0.639744
968;0.620339
27200;0.618413
77058;0.618016
10643;0.616593
12758;0.616498
700;0.611800
963;0.611578
1917;0.604897
13437;0.603412
996;0.603251
768;0.600543
5921;0.599044
43629;0.598160
766;0.595810
30486;0.595625
730;0.592572
31270;0.591145
503;0.590038
967;0.588249
675;0.587241
1023;0.587180
145;0.582414
3268;0.582338
4276;0.581897
5197;0.580052
1400;0.578386
512;0.567922
821;0.566532
82;0.566230
98;0.565408
6593;0.561331
52685;0.559589
155;0.556337
2554;0.554894
7735;0.554665
882;0.554442
202;0.551913
969;0.551602
22400;0.548823
15263;0.544280
24518;0.543941
28054;0.540913
42332;0.538882
2077;0.538601
1257;0.537757
580;0.528996
3567;0.521906
18247;0.521329
883;0.521136
3875;0.520949
3913;0.517505
17845;0.517500
42647;0.515222
2153;0.514150
84;0.513833
1399;0.513705
3090;0.513613
60852;0.512089
31100;0.511354
507;0.508287
641;0.505885
3177;0.501618
34206;0.501378
7178;0.500599
25851;0.500002
2760;0.499037
15143;0.498907
9182;0.494314
14033;0.493920
119;0.491973
12788;0.491555
18707;0.491365
10947;0.490404
2600;0.490218
6688;0.488662
16317;0.487039
13707;0.486518
4085;0.483606
14194;0.483431
21327;0.483039
8954;0.480476
345;0.480149
203;0.478282
37106;0.477108
9334;0.476916
15043;0.475275
21291;0.473830
3891;0.473665
599;0.472672
110;0.472328
245;0.472217
6761;0.471622
141;0.470080
1564;0.467046
25525;0.466957
52621;0.466161
2701;0.465414
1342;0.459428
44125;0.456013
4397;0.455126
14140;0.453406
20546;0.452862
786;0.452459
5946;0.452338
914;0.452269
674;0.451031
8117;0.450057
41873;0.447509
1661;0.445868
6737;0.444312
28587;0.439977
815;0.439343
48320;0.438878
11870;0.438075
601;0.437811
514;0.437433
45839;0.436520
2981;0.435766
46409;0.433433
153;0.431893
9363;0.430476
68291;0.429918
940;0.429527
1081;0.429105
3284;0.428317
621;0.427405
2895;0.427280
11027;0.427082
15679;0.426150
14988;0.425614
55201;0.425333
1497;0.423362
5314;0.422863
20916;0.422632
224;0.419791
3623;0.418700
834;0.417981
46333;0.417854
55998;0.417444
1298;0.415793
57724;0.415554
6400;0.414210
40686;0.412824
2048;0.412294
77;0.411350
2160;0.410704
33887;0.408271
44747;0.408030
108;0.407695
8187;0.405529
13514;0.402663
158;0.400060
161;0.398549
284;0.396722
12587;0.393236
57260;0.392552
233;0.392468
1946;0.392075
2559;0.392043
45304;0.391935
925;0.390671
24739;0.390404
4361;0.390236
135;0.388924
8642;0.388723
